localid,Language,collection,label,description ,definition,status
VA,en,fisiogr_forma,VA,caldera,caldera,https://inspire.ec.europa.eu/registry/status/valid
VC,en,fisiogr_forma,VC,volcanic cone,volcanic cone,https://inspire.ec.europa.eu/registry/status/valid
VCC,en,fisiogr_forma,VCC,volcanic cinder cone,volcanic cinder cone,https://inspire.ec.europa.eu/registry/status/valid
VCL,en,fisiogr_forma,VCL,volcanic lava cone,volcanic lava cone,https://inspire.ec.europa.eu/registry/status/valid
VCP,en,fisiogr_forma,VCP,volcanic polygenetic cone,volcanic polygenetic cone,https://inspire.ec.europa.eu/registry/status/valid
VCS,en,fisiogr_forma,VCS,volcanic scoriae cone,volcanic scoriae cone,https://inspire.ec.europa.eu/registry/status/valid
VD,en,fisiogr_forma,VD,volcanic dome,volcanic dome,https://inspire.ec.europa.eu/registry/status/valid
VL,en,fisiogr_forma,VL,lava flow,lava flow,https://inspire.ec.europa.eu/registry/status/valid
VP,en,fisiogr_forma,VP,volcanic plateau,volcanic plateau,https://inspire.ec.europa.eu/registry/status/valid
VR,en,fisiogr_forma,VR,volcanic crater,volcanic crater,https://inspire.ec.europa.eu/registry/status/valid
VRM,en,fisiogr_forma,VRM,volcanic explosion crater (maar),volcanic explosion crater (maar),https://inspire.ec.europa.eu/registry/status/valid
VT,en,fisiogr_forma,VT,volcanic-tectonic depression,volcanic-tectonic depression,https://inspire.ec.europa.eu/registry/status/valid
W00,en,fisiogr_forma,W00,eolian origin landforms,eolian origin landforms,https://inspire.ec.europa.eu/registry/status/valid
WA,en,fisiogr_forma,WA,eolian deposit,eolian deposit,https://inspire.ec.europa.eu/registry/status/valid
WD,en,fisiogr_forma,WD,dunes,dunes,https://inspire.ec.europa.eu/registry/status/valid
WDA,en,fisiogr_forma,WDA,leant dunes,leant dunes,https://inspire.ec.europa.eu/registry/status/valid
WDP,en,fisiogr_forma,WDP,levelled dunes,levelled dunes,https://inspire.ec.europa.eu/registry/status/valid
WDS,en,fisiogr_forma,WDS,stable dunes,stable dunes,https://inspire.ec.europa.eu/registry/status/valid
WE,en,fisiogr_forma,WE,deflation basin,deflation basin,https://inspire.ec.europa.eu/registry/status/valid
WI,en,fisiogr_forma,WI,interdunal area,interdunal area,https://inspire.ec.europa.eu/registry/status/valid
WIL,en,fisiogr_forma,WIL,interdunal area periodically flooded (lama),interdunal area periodically flooded (lama),https://inspire.ec.europa.eu/registry/status/valid
