id;uom;code;qudt_unit;label;procedure;glosis;definition;;;;;;;;;;122
150;codelist;;;"""durezza - durezza substrato per distizione Cr da R""";https://zenodo.org/records/7589089;;https://zenodo.org/records/7589089#durezza;;;;;;;;;;
151;day ;day ;DAY;"""dysd - giorni di secco""";https://zenodo.org/records/7589089;;https://zenodo.org/records/7589089#dysd;;;;;;;;;;
152;codelist;;;"""SC_AWC - awc calcolata da saxton per la sezione di controllo""";https://zenodo.org/records/7589089;;https://zenodo.org/records/7589089#SC_AWC;;;;;;;;;;
153;codelist;;;"""SC_FIN - profondità finale sezione di controllo calcolata da Saxton""";https://zenodo.org/records/7589089;;https://zenodo.org/records/7589089#SC_FIN;;;;;;;;;;
154;codelist;;;"""SC_INI - profondità iniziale sezione di controllo calcolata da Saxton""";https://zenodo.org/records/7589089;;https://zenodo.org/records/7589089#SC_INI;;;;;;;;;;
155;codelist;;;"""scopo_acque - Scopo del sistema di gestione delle acque""";https://zenodo.org/records/7589089;;https://zenodo.org/records/7589089#scopo_acque;;;;;;;;;;
156;codelist;;;"""sez_ori - tipo di sezione dell'osservazione pedologica""";https://zenodo.org/records/7589089;;https://zenodo.org/records/7589089#sez_ori;;;;;;;;;;
157;codelist;;;"""sigla_geol - Sigla del foglio geologico""";https://zenodo.org/records/7589089;;https://zenodo.org/records/7589089#sigla_geol;;;;;;;;;;
158;codelist;;;"""sist_fuso_datum - sistema di riferimento codice ESPG""";https://zenodo.org/records/7589089;;https://zenodo.org/records/7589089#sist_fuso_datum;;;;;;;;;;
159;codelist;;;"""sistema_terre - Codice dei sistemi di terre di appartenenza del sito derivata da ST""";https://zenodo.org/records/7589089;;https://zenodo.org/records/7589089#sistema_terre;;;;;;;;;;
160;codelist;;;"""sistema_terre_sst - Codice dei sistemi di terre di appartenenza del sito derivata da SST""";https://zenodo.org/records/7589089;;https://zenodo.org/records/7589089#sistema_terre_sst;;;;;;;;;;
161;boolean;;;"""siti_su - Presenza record/s nella tabella siti_su""";https://zenodo.org/records/7589089;;https://zenodo.org/records/7589089#siti_su;;;;;;;;;;
162;codelist;;;"""sito_id - Codice che riunisce codice_rilevamento, tipo_osservazione e numero_osservazione""";https://zenodo.org/records/7589089;;https://zenodo.org/records/7589089#sito_id;;;;;;;;;;
163;codelist;;;"""sito_sperimentale - Sito di sperimentazione""";https://zenodo.org/records/7589089;;https://zenodo.org/records/7589089#sito_sperimentale;;;;;;;;;;
164;codelist;;;"""soil_region - Codice soil region di appartenenza del sito""";https://zenodo.org/records/7589089;;https://zenodo.org/records/7589089#soil_region;;;;;;;;;;
165;codelist;;;"""Ed_Soil_tax - Edizione della Soil Saxonomy a cui si riferisce la classificazione""";https://zenodo.org/records/7589089;;https://zenodo.org/records/7589089#Ed_Soil_tax;;;;;;;;;;
166;codelist;;;"""Ed_WRB - Edizione WRB o FAO a cui si riferisce la classificazione""";https://zenodo.org/records/7589089;;https://zenodo.org/records/7589089#Ed_WRB;;;;;;;;;;
167;codelist;;;"""elmordam2 - Elemento morfologico alla scala di percezione decametrica""";https://zenodo.org/records/7589089;;https://zenodo.org/records/7589089#elmordam2;;;;;;;;;;
168;codelist;;;"""eros_area - Area interessata dall'erosione""";https://zenodo.org/records/7589089;;https://zenodo.org/records/7589089#eros_area;;;;;;;;;;
169;codelist;;;"""erosione - Erosione reale""";https://zenodo.org/records/7589089;;https://zenodo.org/records/7589089#erosione;;;;;;;;;;
170;°;deg;DEG;"""esposizione - Esposizione della stazione °""";https://zenodo.org/records/7589089;;https://zenodo.org/records/7589089#esposizione;;;;;;;;;;
171;codelist;;;"""falda_alim - Alimentazione della falda idrica""";https://zenodo.org/records/7589089;;https://zenodo.org/records/7589089#falda_alim;;;;;;;;;;
172;mo;mo;MO;"""falda_durata - Durata della falda (espresso in numero di mesi)""";https://zenodo.org/records/7589089;;https://zenodo.org/records/7589089#falda_durata;;;;;;;;;;
173;cm;cm;CentiM;"""falda_lim_sup - Limite superiore della falda (in cm)""";https://zenodo.org/records/7589089;;https://zenodo.org/records/7589089#falda_lim_sup;;;;;;;;;;
174;boolean;;;"""fess_sup - presenza fessure superficiali""";https://zenodo.org/records/7589089;;https://zenodo.org/records/7589089#fess_sup;;;;;;;;;;
175;cm;cm;CentiM;"""fess_sup_largh - Larghezza delle fessure superficiali in cm""";https://zenodo.org/records/7589089;;https://zenodo.org/records/7589089#fess_sup_largh;;;;;;;;;;
176;cm;cm;CentiM;"""fess_sup_lung - Lunghezza delle fessure superficiali in cm""";https://zenodo.org/records/7589089;;https://zenodo.org/records/7589089#fess_sup_lung;;;;;;;;;;
177;{count};Count;COUNT;"""fess_sup_num - Numero delle fessure superficiali in 100 mq""";https://zenodo.org/records/7589089;;https://zenodo.org/records/7589089#fess_sup_num;;;;;;;;;;
178;cm;cm;CentiM;"""fess_sup_prof - Profondità delle fessure superficiali in cm""";https://zenodo.org/records/7589089;;https://zenodo.org/records/7589089#fess_sup_prof;;;;;;;;;;
179;codelist;;;"""foglio_geol - Numero del foglio geologico o codice di altro documento geologico""";https://zenodo.org/records/7589089;;https://zenodo.org/records/7589089#foglio_geol;;;;;;;;;;
180;codelist;;;"""formaz_geol - Nome della formazione geologica""";https://zenodo.org/records/7589089;;https://zenodo.org/records/7589089#formaz_geol;;;;;;;;;;
181;codelist;;;"""gest_acque - Gestione delle acque""";https://zenodo.org/records/7589089;;https://zenodo.org/records/7589089#gest_acque;;;;;;;;;;
182;codelist;;;"""grado_corr_t - Grado di correlazione del suolo (campo di appoggio temporaneo)""";https://zenodo.org/records/7589089;;https://zenodo.org/records/7589089#grado_corr_t;;;;;;;;;;
183;codelist;;;"""gruppo_idrologico - gruppo_idrologico""";https://zenodo.org/records/7589089;;https://zenodo.org/records/7589089#gruppo_idrologico;;;;;;;;;;
184;codelist;;;"""in_climatica - Interferenza climatica""";https://zenodo.org/records/7589089;;https://zenodo.org/records/7589089#in_climatica;;;;;;;;;;
185;codelist;;;"""indice_incr - Indice di incrostamento""";https://zenodo.org/records/7589089;;https://zenodo.org/records/7589089#indice_incr;;;;;;;;;;
186;codelist;;;"""inond_dur - Durata dell'inondazione""";https://zenodo.org/records/7589089;;https://zenodo.org/records/7589089#inond_dur;;;;;;;;;;
187;codelist;;;"""inond_freq - Frequenza dell'inondazione""";https://zenodo.org/records/7589089;;https://zenodo.org/records/7589089#inond_freq;;;;;;;;;;
188;codelist;;;"""inspire_id - The INSPIRE cell code""";https://zenodo.org/records/7589089;;https://zenodo.org/records/7589089#inspire_id;;;;;;;;;;
192;deg;deg;DEG;"""Latitudine_WGS84 - coordinate geografiche,latitudine in gradi decimali nel sistema wgs84""";https://zenodo.org/records/7589089;https://schema.org/latitude;https://zenodo.org/records/7589089#Latitudine_WGS84;;;;;;;;;;
193;codelist;;;"""Lito_sst - litologia legenda sottosistemi di terre""";https://zenodo.org/records/7589089;;https://zenodo.org/records/7589089#Lito_sst;;;;;;;;;;
194;codelist;;;"""Lito_st - litologia legenda sistemi terre""";https://zenodo.org/records/7589089;;https://zenodo.org/records/7589089#Lito_st;;;;;;;;;;
195;deg;deg;DEG;"""Longitudine_WGS84 - coordinate geografiche, longitudine in gradi decimali nel sistema wgs84""";https://zenodo.org/records/7589089;https://schema.org/longitude;https://zenodo.org/records/7589089#Longitudine_WGS84;;;;;;;;;;
196;codelist;;;"""Morfo_sst - morfo legenda sottosistemi di terre""";https://zenodo.org/records/7589089;;https://zenodo.org/records/7589089#Morfo_sst;;;;;;;;;;
197;codelist;;;"""Morfo_st - morfo legenda sistemi terre ereditata dalla morfologia principale del poligono di appartenenza del profilo""";https://zenodo.org/records/7589089;;https://zenodo.org/records/7589089#Morfo_st;;;;;;;;;;
198;codelist;;;"""natuforhm2 - Fisiografia della forma alla scala di percezione ettometrica""";https://zenodo.org/records/7589089;;https://zenodo.org/records/7589089#natuforhm2;;;;;;;;;;
