id,Reference,Section,uom,code,qudt_unit,label,procedure,isEquivalentTo,definition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122
13,General and Surface$M$3,Climate and weather,codelist,,,"Climate according to Koeppen (1936) - Climate and weather",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#tbl-a182,http://w3id.org/glosis/model/siteplot/KoeppenClass,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#General and Surface$M$3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,General and Surface$N$3,Climate and weather,codelist,,,"Ecozone according to Schultz (2005, adapted) - Climate and weather",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#tbl-a183,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#General and Surface$N$3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,General and Surface$O$3,Climate and weather,codelist,,,"Season of description - Climate and weather",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#tbl-a184,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#General and Surface$O$3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,General and Surface$P$3,Climate and weather,codelist,,,"Current weather conditions - Climate and weather",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#tbl-a185,http://w3id.org/glosis/model/siteplot/WeatherCurrent,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#General and Surface$P$3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,General and Surface$Q$3,Climate and weather,codelist,,,"Past weather conditions - Climate and weather",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#tbl-a186,http://w3id.org/glosis/model/siteplot/WeatherPast,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#General and Surface$Q$3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,General and Surface$R$4,Vegetation and land use,codelist,,,"Vegetation type 1.1 (dominant) - Vegetation and land use",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#tbl-a188,http://w3id.org/glosis/model/siteplot/VegetationClass,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#General and Surface$R$4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,General and Surface$S$4,Vegetation and land use,codelist,,,"Vegetation type 1.2 - Vegetation and land use",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#tbl-a188,http://w3id.org/glosis/model/siteplot/VegetationClass,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#General and Surface$S$4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,General and Surface$T$4,Vegetation and land use,codelist,,,"Vegetation type 1.3 - Vegetation and land use",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#tbl-a188,http://w3id.org/glosis/model/siteplot/VegetationClass,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#General and Surface$T$4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,General and Surface$U$4,Vegetation and land use,m,m,M,"Average height [m] - Vegetation and land use",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#sec-a1-825-vh,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#General and Surface$U$4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,General and Surface$V$4,Vegetation and land use,m,m,M,"Maximum height [m] - Vegetation and land use",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#sec-a1-825-vh,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#General and Surface$V$4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
