id,Reference,Section,uom,code,qudt_unit,label,procedure,isEquivalentTo,definition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122
57,General and Surface$BE$4,Vegetation and land use,codelist,,,"Special technique to enhance site productivity 2 - Vegetation and land use",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#tbl-a1810,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#General and Surface$BE$4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,General and Surface$BF$4,Vegetation and land use,codelist,,,"Special technique to enhance site productivity 3 - Vegetation and land use",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#tbl-a1810,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#General and Surface$BF$4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,General and Surface$BG$3,Litter layer,%,dm2/m2,,"Area covered [%] - Litter layer",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#sec-a1-832,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#General and Surface$BG$3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,General and Surface$BH$3,Litter layer,cm,cm,CentiM,"Average thickness [cm] - Litter layer",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#sec-a1-832,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#General and Surface$BH$3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,General and Surface$BI$3,Litter layer,cm,cm,CentiM,"Maximum thickness [cm] - Litter layer",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#sec-a1-832,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#General and Surface$BI$3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,General and Surface$BJ$3,Rock outcrops,codelist,,,"Area covered [%] - Rock outcrops",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#sec-a1-833,https://glosis-ld.github.io/glosis/glosis_siteplot/index-en.html#/rockOutcropsCoverProperty,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#General and Surface$BJ$3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,General and Surface$BK$3,Rock outcrops,m,m,M,"Average distance [m] - Rock outcrops",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#sec-a1-833,https://glosis-ld.github.io/glosis/glosis_siteplot/index-en.html#/rockOutcropsDistanceProperty,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#General and Surface$BK$3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,General and Surface$BL$3,Rock outcrops,m,m,M,"Size [m] - Rock outcrops",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#sec-a1-833,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#General and Surface$BL$3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,General and Surface$BM$3,Coarse surface fragments,m,m,M,"Total area covered [%] - Coarse surface fragments",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#sec-a1-834,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#General and Surface$BM$3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,General and Surface$BN$3,Coarse surface fragments,codelist,,,"Size class 1 (dominant) - Coarse surface fragments",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#tbl-a1811,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#General and Surface$BN$3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,General and Surface$BO$3,Coarse surface fragments,codelist,,,"Size class 2 - Coarse surface fragments",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#tbl-a1811,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#General and Surface$BO$3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,General and Surface$BP$3,Coarse surface fragments,codelist,,,"Size class 3 - Coarse surface fragments",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#tbl-a1811,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#General and Surface$BP$3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,General and Surface$BQ$3,Coarse surface fragments,codelist,,,"Area covered by size class 1 [%] - Coarse surface fragments",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#sec-a1-834,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#General and Surface$BQ$3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,General and Surface$BR$3,Coarse surface fragments,codelist,,,"Area covered by size class 2 [%] - Coarse surface fragments",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#sec-a1-834,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#General and Surface$BR$3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,General and Surface$BS$3,Coarse surface fragments,codelist,,,"Area covered by size class 3 [%] - Coarse surface fragments",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#sec-a1-834,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#General and Surface$BS$3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,General and Surface$BT$3,Desert features,codelist,,,"Ventifacts [%, see 8.3.5] - Desert features",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#sec-a1-835,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#General and Surface$BT$3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,General and Surface$BU$3,Desert features,codelist,,,"Desert varnish [%, see 8.3.5] - Desert features",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#sec-a1-835,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#General and Surface$BU$3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,General and Surface$BV$2,Patterned ground,codelist,,,"Patterned ground - Patterned ground",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#tbl-a1812,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#General and Surface$BV$2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,General and Surface$BW$3,Surface crusts,codelist,,,"Area covered [%] - Surface crusts",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#sec-a1-837,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#General and Surface$BW$3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,General and Surface$BX$2,Surface cracks,codelist,,,"Surface cracks - Surface cracks",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#sec-a1-838,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#General and Surface$BX$2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,General and Surface$BX$3,Surface cracks,codelist,,,"Width class 1 (dominant) - Surface cracks",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#tbl-a1813,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#General and Surface$BX$3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,General and Surface$BX$4,Surface cracks,codelist,,,"Width class - Surface cracks",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#tbl-a1813,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#General and Surface$BX$4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,General and Surface$BY$4,Surface cracks,codelist,,,"Distance between surface cracks - Surface cracks",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#tbl-a1814,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#General and Surface$BY$4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,General and Surface$BZ$4,Surface cracks,codelist,,,"Spatial arrangement of surface cracks - Surface cracks",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#tbl-a1815,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#General and Surface$BZ$4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,General and Surface$CA$4,Surface cracks,codelist,,,"Persistence of surface cracks - Surface cracks",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#tbl-a1816,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#General and Surface$CA$4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,General and Surface$CB$3,Surface cracks,codelist,,,"Width class 2 - Surface cracks",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#tbl-a1816,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#General and Surface$CB$3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,General and Surface$CC$4,Surface cracks,codelist,,,"Distance between surface cracks - Surface cracks",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#tbl-a1814,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#General and Surface$CC$4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,General and Surface$CD$4,Surface cracks,codelist,,,"Spatial arrangement of surface cracks - Surface cracks",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#tbl-a1815,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#General and Surface$CD$4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,General and Surface$CE$4,Surface cracks,codelist,,,"Persistence of surface cracks - Surface cracks",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#tbl-a1816,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#General and Surface$CE$4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,General and Surface$CF$2,Presence of water,codelist,,,"Presence of water - Presence of water",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#tbl-a1817,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#General and Surface$CF$2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,General and Surface$CG$2,Water repellence,codelist,,,"Water repellence - Water repellence",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#tbl-a1818,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#General and Surface$CG$2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,General and Surface$CH$4,Natural surface unevenness,codelist,,,"Type - Natural surface unevenness",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#tbl-a1819,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#General and Surface$CH$4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,General and Surface$CI$4,Natural surface unevenness,m,m,M,"Average height difference [m] - Natural surface unevenness",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#sec-a1-8311-n,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#General and Surface$CI$4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,General and Surface$CJ$4,Natural surface unevenness,m,m,M,"Average diameter of the elevated areas [m] - Natural surface unevenness",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#sec-a1-8311-n,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#General and Surface$CJ$4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,General and Surface$CK$4,Natural surface unevenness,m,m,M,"Average distance between the height maxima [m] - Natural surface unevenness",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#sec-a1-8311-n,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#General and Surface$CK$4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,General and Surface$CL$4,Human-made surface unevenness,codelist,,,"Type 1 (dominant) - Human-made surface unevenness",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#tbl-a1820,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#General and Surface$CL$4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,General and Surface$CM$4,Human-made surface unevenness,codelist,,,"Type 2 - Human-made surface unevenness",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#tbl-a1820,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#General and Surface$CM$4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,General and Surface$CN$4,Human-made surface unevenness,cm,cm,CentiM,"For terraces: Average height [cm] - Human-made surface unevenness",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#sec-a1-8311-h,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#General and Surface$CN$4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,General and Surface$CO$5,Human-made surface unevenness,cm,cm,CentiM,"Average difference of highest and lowest points - Human-made surface unevenness",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#sec-a1-8311-h,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#General and Surface$CO$5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,General and Surface$CP$5,Human-made surface unevenness,cm,cm,CentiM,"Average width/ length - Human-made surface unevenness",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#sec-a1-8311-h,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#General and Surface$CP$5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,General and Surface$CQ$5,Human-made surface unevenness,cm,cm,CentiM,"Average distance between depth/height maxima - Human-made surface unevenness",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#sec-a1-8311-h,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#General and Surface$CQ$5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,General and Surface$CR$4,Surface unevenness caused by erosion,codelist,,,"Category - Surface unevenness caused by erosion",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#tbl-a1821,http://w3id.org/glosis/model/codelists/erosionCategoryValueCode,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#General and Surface$CR$4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,General and Surface$CS$4,Surface unevenness caused by erosion,codelist,,,"Degree - Surface unevenness caused by erosion",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#tbl-a1822,http://w3id.org/glosis/model/codelists/erosionAreaAffectedValueCode,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#General and Surface$CS$4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,General and Surface$CT$4,Surface unevenness caused by erosion,codelist,,,"Activity - Surface unevenness caused by erosion",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#tbl-a1823,http://w3id.org/glosis/model/siteplot/ErosionActivityPeriod,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#General and Surface$CT$4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,General and Surface$CU$3,Surface unevenness caused by erosion,codelist,,,"Position of the soil profile - Surface unevenness caused by erosion",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#tbl-a1824,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#General and Surface$CU$3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,General and Surface$CV$2,Technical surface alterations,codelist,,,"Technical surface alterations - Technical surface alterations",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#tbl-a1825,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#General and Surface$CV$2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,https://obrl-soil.github.io/wrbsoil2022/chapter-01.html#sec-arch-qlf#Principal Qualifiers,"Codes for the Reference Soil Groups, qualifiers and specifiers",codelist,,,"Principal Qualifiers - The rules for naming soils",https://obrl-soil.github.io/wrbsoil2022/chapter-01.html#sec-arch-qlf#Principal Qualifiers,http://w3id.org/glosis/model/profile/SoilClassificationWRB,https://obrl-soil.github.io/wrbsoil2022/chapter-01.html#sec-arch-qlf#Principal Qualifiers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,https://obrl-soil.github.io/wrbsoil2022/chapter-02.html#sec-subq-depth#additional subqualifier,"Codes for the Reference Soil Groups, qualifiers and specifiers",codelist,,,"additional subqualifier - The rules for naming soils",https://obrl-soil.github.io/wrbsoil2022/chapter-02.html#sec-subq-depth#additional subqualifier,http://w3id.org/glosis/model/profile/SoilClassificationWRB,https://obrl-soil.github.io/wrbsoil2022/chapter-02.html#sec-subq-depth#additional subqualifier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,https://obrl-soil.github.io/wrbsoil2022/chapter-02.html#sec-subq-depth#optional subqualifier,"Codes for the Reference Soil Groups, qualifiers and specifiers",codelist,,,"optional subqualifier - The rules for naming soils",https://obrl-soil.github.io/wrbsoil2022/chapter-02.html#sec-subq-depth#optional subqualifier,http://w3id.org/glosis/model/profile/SoilClassificationWRB,https://obrl-soil.github.io/wrbsoil2022/chapter-02.html#sec-subq-depth#optional subqualifier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,https://obrl-soil.github.io/wrbsoil2022/chapter-06.html#rules-for-the-use-of-the-codes-for-naming-soils#TQ1,"Codes for the Reference Soil Groups, qualifiers and specifiers",codelist,,,"TQ1 - The rules for naming soils",https://obrl-soil.github.io/wrbsoil2022/chapter-06.html#rules-for-the-use-of-the-codes-for-naming-soils#TQ1,http://w3id.org/glosis/model/profile/SoilClassificationWRB,https://obrl-soil.github.io/wrbsoil2022/chapter-06.html#rules-for-the-use-of-the-codes-for-naming-soils#TQ1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,https://obrl-soil.github.io/wrbsoil2022/chapter-06.html#tbl-sixone,"Codes for the Reference Soil Groups, qualifiers and specifiers",codelist,,,"Reference Soil Group - The rules for naming soils",https://obrl-soil.github.io/wrbsoil2022/chapter-06.html#tbl-sixone,http://w3id.org/glosis/model/profile/SoilClassificationWRB,https://obrl-soil.github.io/wrbsoil2022/chapter-06.html#tbl-sixone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
