fid,Reference,Section,uom,code,qudt_unit,label,procedure,glosis_cl,definition,
209,Layer descriptions$HB$4,Consistence,codelist,,,"Agent 2 - Consistence",,http://w3id.org/glosis/model/layerhorizon/cementationNatureProperty,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$HB$4,
210,Layer descriptions$HC$4,Consistence,codelist,,,"Agent 3 - Consistence",,http://w3id.org/glosis/model/layerhorizon/cementationNatureProperty,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$HC$4,
211,Layer descriptions$HD$3,Consistence,codelist,,,"Cementation class - Consistence",,http://w3id.org/glosis/model/layerhorizon/cementationFabricProperty,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$HD$3,
212,Layer descriptions$HE$3,Consistence,codelist,,,"Rupture resistance class, moist - Consistence",,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$HE$3,
213,Layer descriptions$HF$3,Consistence,codelist,,,"Rupture resistance class, dry - Consistence",,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$HF$3,
214,Layer descriptions$HG$3,Consistence,codelist,,,"Susceptibility for cementation Table 8.75 - Consistence",,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$HG$3,
215,Layer descriptions$HH$3,Consistence,codelist,,,"Manner of failure - Consistence",,http://w3id.org/glosis/model/layerhorizon/ConsistenceMoist,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$HH$3,
216,Layer descriptions$HI$3,Consistence,codelist,,,"Plasticity - Consistence",,http://w3id.org/glosis/model/layerhorizon/Plasticity,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$HI$3,
217,Layer descriptions$HJ$3,Consistence,Kg/cm^2,Kg/cm2,,"Penetration resistance (Kg/cm^2) - Consistence",,http://w3id.org/glosis/model/layerhorizon/ConsistenceDry,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$HJ$3,
218,Layer descriptions$HK$3,Surface crusts,codelist,,,"Sealing agent 1 (dominant) - Surface crusts",,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$HK$3,
219,Layer descriptions$HL$3,Surface crusts,codelist,,,"Sealing agent 2 - Surface crusts",,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$HL$3,
220,Layer descriptions$HM$3,Surface crusts,codelist,,,"Sealing agent 3 - Surface crusts",,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$HM$3,
221,Layer descriptions$HN$3,Continuity of hard materials and cemented layers,%,daL/m3,,"Volume occupied by the fractures [%] - Continuity of hard materials and cemented layers",,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$HN$3,
222,Layer descriptions$HO$3,Continuity of hard materials and cemented layers,cm,cm,CentiM,"Average distance between the fractures [cm] - Continuity of hard materials and cemented layers",,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$HO$3,
223,Layer descriptions$HP$3,Volcanic glasses and andic characteristics,,,,"Abundance of volcanic glasses in the sand and coarse silt fraction - Volcanic glasses and andic characteristics",,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$HP$3,
224,Layer descriptions$HQ$3,Volcanic glasses and andic characteristics,codelist,,,"Thixotropy and NaF field test - Volcanic glasses and andic characteristics",,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$HQ$3,
225,Layer descriptions$HR$4,Permafrost features,codelist,,,"Feature 1 (dominant) - Permafrost features",,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$HR$4,
226,Layer descriptions$HS$4,Permafrost features,codelist,,,"Feature 2 - Permafrost features",,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$HS$4,
227,Layer descriptions$HT$4,Permafrost features,codelist,,,"Feature 3 - Permafrost features",,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$HT$4,
228,Layer descriptions$HU$4,Permafrost features,%,dm2/m2,,"Abundance feature 1, by exposed area [%] - Permafrost features",,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$HU$4,
229,Layer descriptions$HV$4,Permafrost features,%,dm2/m2,,"Abundance feature 2, by exposed area [%] - Permafrost features",,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$HV$4,
230,Layer descriptions$HW$4,Permafrost features,%,dm2/m2,,"Abundance feature 3, by exposed area [%] - Permafrost features",,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$HW$4,
231,Layer descriptions$HX$3,Permafrost features,,,,"Layers with permafrost - Permafrost features",,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$HX$3,
232,Layer descriptions$HY$3,Bulk density,codelist,,,"Packing density - Bulk density",,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$HY$3,
233,Layer descriptions$HZ$3,Bulk density,g/cm3,g/cm3,GM-PER-CentiM3,"Bulk density (g/cm3) - Bulk density",,http://w3id.org/glosis/model/layerhorizon/BulkDensityFineEarthValue,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$HZ$3,
234,Layer descriptions$IA$4,Soil organic carbon (Corg),dag/kg,dag/kg,,"Min - Soil organic carbon",,http://w3id.org/glosis/model/layerhorizon/CarbonOrganicValue,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$IA$4,
235,Layer descriptions$IB$4,Soil organic carbon (Corg),dag/kg,dag/kg,,"Max - Soil organic carbon",,http://w3id.org/glosis/model/layerhorizon/CarbonOrganicValue,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$IB$4,
236,Layer descriptions$IC$4,"Natural accumulations 
of organic matter",codelist,,,"Type 1 (dominant) - Natural accumulations 
of organic matter",,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$IC$4,
237,Layer descriptions$ID$4,"Natural accumulations 
of organic matter",codelist,,,"Type 2 - Natural accumulations 
of organic matter",,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$ID$4,
