fid,Reference,Section,uom,code,qudt_unit,label,procedure,glosis_cl,definition,
1,Layer descriptions$B$2,Chapter 8.4.1,number,{count},,"Number of the layer - Chapter 8.4.1",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#sec-a1-841,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$B$2,
2,Layer descriptions$C$2,Chapter 8.4.1,cm,cm,CentiM,"Upper boundary [cm] - Chapter 8.4.1",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#sec-a1-841,http://w3id.org/glosis/model/iso28258/2013/ProfileElement.upperDepth,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$C$2,
3,Layer descriptions$D$2,Chapter 8.4.1,cm,cm,CentiM,"Lower boundary [cm] - Chapter 8.4.1",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#sec-a1-841,http://w3id.org/glosis/model/iso28258/2013/ProfileElement.lowerDepth,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$D$2,
4,Layer descriptions$E$3,Homogeneity of the layer,codelist,,,"Layer consisting of different parts - Homogeneity of the layer",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#sec-a1-842,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$E$3,
5,Layer descriptions$F$3,Homogeneity of the layer,codelist,[presenceOfStrataWithinALayer],,"Layer composed of several strata of alluvial sediments or of tephra - Homogeneity of the layer",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#tbl-a1826,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$F$3,
6,Layer descriptions$G$3,Water,codelist,[typesOfWaterSaturation],,"Water saturation - Water",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#tbl-a1827,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$G$3,
7,Layer descriptions$H$3,Water,codelist,[soilWaterStatus],,"Soil water status - Water",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#tbl-a1828,http://w3id.org/glosis/model/layerhorizon/moistureContentProperty,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$H$3,
8,Layer descriptions$I$2,Chapter 8.4.4,codelist,[organicHydromorphicAndTerrestrialOrganotechnicAndMineralLayers],,"Organic, organo- technic or mineral layer - Chapter 8.4.4",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#tbl-a1829,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$I$2,
9,Layer descriptions$J$3,Layer boundaries,codelist,,,"Distinctness of the layer s lower boundary - Layer boundaries",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#tbl-a1830,http://w3id.org/glosis/model/layerhorizon/boundaryDistinctnessProperty,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$J$3,
10,Layer descriptions$K$3,Layer boundaries,codelist,,,"Shape - Layer boundaries",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#tbl-a1831,http://w3id.org/glosis/model/layerhorizon/boundaryTopographyProperty,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$K$3,
11,Layer descriptions$L$2,Chapter 8.4.6,codelist,,,"Wind deposition - Chapter 8.4.6",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#tbl-a1832,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$L$2,
12,Layer descriptions$M$4,Coarse fragments,%,daL/m3,,"Total abundance, by volume [%] - Coarse fragments",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#sec-a1-847-a,http://w3id.org/glosis/model/layerhorizon/CoarseFragmentsValue,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$M$4,
13,Layer descriptions$N$4,Coarse fragments,codelist,,,"Size and shape class 1 (dominant) - Coarse fragments",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#tbl-a1833,http://w3id.org/glosis/model/layerhorizon/FragmentsClass,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$N$4,
14,Layer descriptions$O$4,Coarse fragments,codelist,,,"Size and shape class 2 - Coarse fragments",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#tbl-a1833,http://w3id.org/glosis/model/layerhorizon/FragmentsClass,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$O$4,
15,Layer descriptions$P$4,Coarse fragments,codelist,,,"Size and shape class 3 - Coarse fragments",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#tbl-a1833,http://w3id.org/glosis/model/layerhorizon/FragmentsClass,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$P$4,
16,Layer descriptions$Q$4,Coarse fragments,codelist,,,"Size and shape class 4 - Coarse fragments",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#tbl-a1833,http://w3id.org/glosis/model/layerhorizon/FragmentsClass,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$Q$4,
17,Layer descriptions$R$4,Coarse fragments,codelist,,,"Weathering stage of size and shape class 1 - Coarse fragments",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#tbl-a1834,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$R$4,
18,Layer descriptions$S$4,Coarse fragments,codelist,,,"Weathering stage of size and shape class 2 - Coarse fragments",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#tbl-a1834,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$S$4,
19,Layer descriptions$T$4,Coarse fragments,codelist,,,"Weathering stage of size and shape class 3 - Coarse fragments",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#tbl-a1834,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$T$4,
20,Layer descriptions$U$4,Coarse fragments,codelist,,,"Weathering stage of size and shape class 4 - Coarse fragments",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#tbl-a1834,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$U$4,
21,Layer descriptions$V$4,Coarse fragments,%,daL/m3,,"Abundance of size and shape class 1, by volume [%] - Coarse fragments",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#sec-a1-847-a,http://w3id.org/glosis/model/layerhorizon/CoarseFragmentsValue,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$V$4,
22,Layer descriptions$W$4,Coarse fragments,%,daL/m3,,"Abundance of size and shape class 2, by volume [%] - Coarse fragments",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#sec-a1-847-a,http://w3id.org/glosis/model/layerhorizon/CoarseFragmentsValue,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$W$4,
23,Layer descriptions$X$4,Coarse fragments,%,daL/m3,,"Abundance of size and shape class 3, by volume [%] - Coarse fragments",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#sec-a1-847-a,http://w3id.org/glosis/model/layerhorizon/CoarseFragmentsValue,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$X$4,
24,Layer descriptions$Y$4,Coarse fragments,%,daL/m3,,"Abundance of size and shape class 4, by volume [%] - Coarse fragments",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#sec-a1-847-a,http://w3id.org/glosis/model/layerhorizon/CoarseFragmentsValue,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$Y$4,
25,Layer descriptions$Z$4,Remnants of broken-up cemented layers,%,daL/m3,,"Total abundance, by volume [%] - Remnants of broken-up cemented layers",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#sec-a1-847-a,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$Z$4,
26,Layer descriptions$AA$4,Remnants of broken-up cemented layers,codelist,,,"Cementing agent 1 (dominant) - Remnants of broken-up cemented layers",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#tbl-a1835,http://w3id.org/glosis/model/layerhorizon/cementationNatureProperty,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$AA$4,
27,Layer descriptions$AB$4,Remnants of broken-up cemented layers,codelist,,,"Cementing agent 2 - Remnants of broken-up cemented layers",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#tbl-a1835,http://w3id.org/glosis/model/layerhorizon/cementationNatureProperty,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$AB$4,
28,Layer descriptions$AC$4,Remnants of broken-up cemented layers,codelist,,,"Size and shape class of remnants cemented by cementing agent 1 - Remnants of broken-up cemented layers",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#tbl-a1833,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$AC$4,
29,Layer descriptions$AD$4,Remnants of broken-up cemented layers,codelist,,,"Size and shape class of remnants cemented by cementing agent 2 - Remnants of broken-up cemented layers",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#tbl-a1833,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$AD$4,
30,Layer descriptions$AE$4,Remnants of broken-up cemented layers,%,daL/m3,,"Abundance of remnants cemented by cementing agent 1, by volume [%] - Remnants of broken-up cemented layers",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#sec-a1-847-a,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$AE$4,
31,Layer descriptions$AF$4,Remnants of broken-up cemented layers,%,daL/m3,,"Abundance of remnants cemented by cementing agent 2, by volume [%] - Remnants of broken-up cemented layers",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#sec-a1-847-a,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$AF$4,
32,Layer descriptions$AG$3,Coarse fragments and remnants of broken-up cemented layers,%,daL/m3,,"Free large pores between coarse fragments, by volume [%] - Coarse fragments and remnants of broken-up cemented layers",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#sec-a1-847-p,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$AG$3,
33,Layer descriptions$AH$3,Artefacts,%,daL/m3,,"Total abundance, by volume [%] - Artefacts",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#sec-a1-847-a,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$AH$3,
34,Layer descriptions$AI$3,Artefacts,%,dm2/m2,,"Black carbon, by exposed area [%] - Artefacts",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#sec-a1-848-a,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$AI$3,
35,Layer descriptions$AJ$3,Artefacts,,,,"Type 1 (dominant) - Artefacts",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#tbl-a1836,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$AJ$3,
36,Layer descriptions$AK$3,Artefacts,,,,"Type 2 - Artefacts",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#tbl-a1836,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$AK$3,
37,Layer descriptions$AL$3,Artefacts,,,,"Type 3 - Artefacts",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#tbl-a1836,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$AL$3,
38,Layer descriptions$AM$3,Artefacts,,,,"Type 4 - Artefacts",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#tbl-a1836,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$AM$3,
39,Layer descriptions$AN$3,Artefacts,,,,"Type 5 - Artefacts",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#tbl-a1836,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$AN$3,
40,Layer descriptions$AO$3,Artefacts,codelist,,,"Size class of type 1 - Artefacts",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#tbl-a1837,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$AO$3,
41,Layer descriptions$AP$3,Artefacts,codelist,,,"Size class of type 2 - Artefacts",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#tbl-a1837,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$AP$3,
42,Layer descriptions$AQ$3,Artefacts,codelist,,,"Size class of type 3 - Artefacts",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#tbl-a1837,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$AQ$3,
43,Layer descriptions$AR$3,Artefacts,codelist,,,"Size class of type 4 - Artefacts",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#tbl-a1837,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$AR$3,
44,Layer descriptions$AS$3,Artefacts,codelist,,,"Size class of type 5 - Artefacts",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#tbl-a1837,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$AS$3,
45,Layer descriptions$AT$3,Artefacts,%,daL/m3,,"Abundance of type 1, by volume [%] - Artefacts",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#sec-a1-847-a,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$AT$3,
46,Layer descriptions$AU$3,Artefacts,%,daL/m3,,"Abundance of type 2, by volume [%] - Artefacts",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#sec-a1-847-a,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$AU$3,
47,Layer descriptions$AV$3,Artefacts,%,daL/m3,,"Abundance of type 3, by volume [%] - Artefacts",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#sec-a1-847-a,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$AV$3,
48,Layer descriptions$AW$3,Artefacts,%,daL/m3,,"Abundance of type 4, by volume [%] - Artefacts",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#sec-a1-847-a,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$AW$3,
49,Layer descriptions$AX$3,Artefacts,%,daL/m3,,"Abundance of type 5, by volume [%] - Artefacts",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#sec-a1-847-a,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$AX$3,
50,Layer descriptions$AY$2,Chapter 8.4.9,codelist,,,"Texture class - Chapter 8.4.9",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#tbl-a1839,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$AY$2,
51,Layer descriptions$AZ$2,Chapter 8.4.9,codelist,,,"Subclass of the texture classes sand and loamy sand - Chapter 8.4.9",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#tbl-a1840,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$AZ$2,
52,Layer descriptions$BA$4,First-level structure - Type 1,,,,"Type 1 - First-level structure - Type 1",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#tbl-a1841,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$BA$4,
53,Layer descriptions$BB$5,First-level structure - Type 1,%,daL/m3,,"Abundance of type 1, by volume [%] - First-level structure - Type 1",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#sec-a1-847-a,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$BB$5,
54,Layer descriptions$BC$5,First-level structure - Type 1,,,,"Grade - First-level structure - Type 1",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#tbl-a1843,http://w3id.org/glosis/model/layerhorizon/structureGradeProperty,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$BC$5,
55,Layer descriptions$BD$5,First-level structure - Type 1,,,,"Penetrability for roots - First-level structure - Type 1",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#tbl-a1844,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$BD$5,
56,Layer descriptions$BE$5,First-level structure - Type 1,mm,mm,MilliM,"Size class 1 [mm] - First-level structure - Type 1",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#tbl-a1845,http://w3id.org/glosis/model/layerhorizon/structureSizeProperty,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$BE$5,
57,Layer descriptions$BF$5,First-level structure - Type 1,mm,mm,MilliM,"Size class 2 - First-level structure - Type 1",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#tbl-a1845,http://w3id.org/glosis/model/layerhorizon/structureSizeProperty,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$BF$5,
58,Layer descriptions$BG$5,First-level structure - Type 1,%,daL/m3,,"Abundance of size class 1, by volume [%] - First-level structure - Type 1",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#sec-a1-847-a,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$BG$5,
59,Layer descriptions$BH$5,First-level structure - Type 1,%,daL/m3,,"Abundance of size class 2, by volume [%] - First-level structure - Type 1",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#sec-a1-847-a,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$BH$5,
60,Layer descriptions$BI$4,First-level structure - Type 2,,,,"Type 2 - First-level structure - Type 2",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#tbl-a1841,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$BI$4,
61,Layer descriptions$BJ$5,First-level structure - Type 2,%,daL/m3,,"Abundance of type 2, by volume [%] - First-level structure - Type 2",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#sec-a1-847-a,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$BJ$5,
62,Layer descriptions$BK$5,First-level structure - Type 2,,,,"Grade - First-level structure - Type 2",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#tbl-a1843,http://w3id.org/glosis/model/layerhorizon/structureGradeProperty,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$BK$5,
63,Layer descriptions$BL$5,First-level structure - Type 2,,,,"Penetrability for roots - First-level structure - Type 2",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#tbl-a1844,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$BL$5,
64,Layer descriptions$BM$5,First-level structure - Type 2,codelist,,,"Size class 1 - First-level structure - Type 2",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#tbl-a1845,http://w3id.org/glosis/model/layerhorizon/structureSizeProperty,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$BM$5,
65,Layer descriptions$BN$5,First-level structure - Type 2,codelist,,,"Size class 2 - First-level structure - Type 2",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#tbl-a1845,http://w3id.org/glosis/model/layerhorizon/structureSizeProperty,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$BN$5,
66,Layer descriptions$BO$5,First-level structure - Type 2,%,daL/m3,,"Abundance of size class 1, by volume [%] - First-level structure - Type 2",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#sec-a1-847-a,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$BO$5,
67,Layer descriptions$BP$5,First-level structure - Type 2,%,daL/m3,,"Abundance of size class 2, by volume [%] - First-level structure - Type 2",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#sec-a1-847-a,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$BP$5,
68,Layer descriptions$BQ$4,First-level structure - Type 3,,,,"Type 3 - First-level structure - Type 3",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#tbl-a1841,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$BQ$4,
69,Layer descriptions$BR$5,First-level structure - Type 3,%,daL/m3,,"Abundance of type 3, by volume [%] - First-level structure - Type 3",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#sec-a1-847-a,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$BR$5,
70,Layer descriptions$BS$5,First-level structure - Type 3,,,,"Grade - First-level structure - Type 3",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#tbl-a1843,http://w3id.org/glosis/model/layerhorizon/structureGradeProperty,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$BS$5,
71,Layer descriptions$BT$5,First-level structure - Type 3,,,,"Penetrability for roots - First-level structure - Type 3",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#tbl-a1844,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$BT$5,
72,Layer descriptions$BU$5,First-level structure - Type 3,codelist,,,"Size class 1 - First-level structure - Type 3",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#tbl-a1845,http://w3id.org/glosis/model/layerhorizon/structureSizeProperty,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$BU$5,
73,Layer descriptions$BV$5,First-level structure - Type 3,codelist,,,"Size class 2 - First-level structure - Type 3",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#tbl-a1845,http://w3id.org/glosis/model/layerhorizon/structureSizeProperty,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$BV$5,
74,Layer descriptions$BW$5,First-level structure - Type 3,%,daL/m3,,"Abundance of size class 1, by volume [%] - First-level structure - Type 3",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#sec-a1-847-a,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$BW$5,
75,Layer descriptions$BX$5,First-level structure - Type 3,%,daL/m3,,"Abundance of size class 2, by volume [%] - First-level structure - Type 3",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#sec-a1-847-a,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$BX$5,
76,Layer descriptions$BY$4,Second-level structure - Type 1.1,,,,"Type - Second-level structure - Type 1.1",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#tbl-a1841,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$BY$4,
77,Layer descriptions$BZ$5,Second-level structure - Type 1.1,%,daL/m3,,"Abundance of type 1.1, by volume [%] - Second-level structure - Type 1.1",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#sec-a1-847-a,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$BZ$5,
78,Layer descriptions$CA$5,Second-level structure - Type 1.1,,,,"Grade - Second-level structure - Type 1.1",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#tbl-a1843,http://w3id.org/glosis/model/layerhorizon/structureGradeProperty,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$CA$5,
79,Layer descriptions$CB$5,Second-level structure - Type 1.1,,,,"Penetrability for roots - Second-level structure - Type 1.1",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#tbl-a1844,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$CB$5,
80,Layer descriptions$CC$5,Second-level structure - Type 1.1,codelist,,,"Size class 1 - Second-level structure - Type 1.1",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#tbl-a1845,http://w3id.org/glosis/model/layerhorizon/structureSizeProperty,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$CC$5,
81,Layer descriptions$CD$5,Second-level structure - Type 1.1,codelist,,,"Size class 2 - Second-level structure - Type 1.1",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#tbl-a1845,http://w3id.org/glosis/model/layerhorizon/structureSizeProperty,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$CD$5,
82,Layer descriptions$CE$5,Second-level structure - Type 1.1,%,daL/m3,,"Abundance of size class 1, by volume [%] - Second-level structure - Type 1.1",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#sec-a1-847-a,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$CE$5,
83,Layer descriptions$CF$5,Second-level structure - Type 1.1,%,daL/m3,,"Abundance of size class 2, by volume [%] - Second-level structure - Type 1.1",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#sec-a1-847-a,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$CF$5,
84,Layer descriptions$CG$5,Second-level structure - Type 1.2,,,,"Type - Second-level structure - Type 1.2",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#tbl-a1841,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$CG$5,
